,question,CHAPTER,CLASS,CUSTOM,TOPIC,SUBJECT,BLOOM_TAXONOMY,CURRICULUM
75170,<p>Write the largest number of 6 digits and the smallest number of 7 digits. Which one of these two is larger and by how much?</p>,Whole Numbers,6,RD Sharma,,Mathematics,,CBSE
4313,"<p>A car starts from a point <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mstyle mathvariant=""normal""><mi>P</mi></mstyle><annotation encoding=""application/x-tex"">\mathrm{P}</annotation></semantics></math> at time <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>t</mi><mo>=</mo><mn>0</mn></mrow><annotation encoding=""application/x-tex"">t=0</annotation></semantics></math> seconds and stops at point <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mstyle mathvariant=""normal""><mi>Q</mi></mstyle><annotation encoding=""application/x-tex"">\mathrm{Q}</annotation></semantics></math>. The distance <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>x</mi><annotation encoding=""application/x-tex"">x</annotation></semantics></math>, in metres, covered by it, in <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>t</mi><annotation encoding=""application/x-tex"">t</annotation></semantics></math> seconds is given by<br />
<br />
<math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>x</mi><mo>=</mo><msup><mi>t</mi><mn>2</mn></msup><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mn>2</mn><mo>−</mo><mfrac><mi>t</mi><mn>3</mn></mfrac><mo stretchy=""true"" form=""postfix"">)</mo></mrow></mrow><annotation encoding=""application/x-tex"">x=t^2(2-\frac{t}{3})</annotation></semantics></math><br />
<br />
Find the time taken by it to reach <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mstyle mathvariant=""normal""><mi>Q</mi></mstyle><annotation encoding=""application/x-tex"">\mathrm{Q}</annotation></semantics></math> and also find distance between <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mstyle mathvariant=""normal""><mi>P</mi></mstyle><annotation encoding=""application/x-tex"">\mathrm{P}</annotation></semantics></math> and <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mstyle mathvariant=""normal""><mi>Q</mi></mstyle><annotation encoding=""application/x-tex"">\mathrm{Q}</annotation></semantics></math>.</p>
",Application of Derivatives ,12,Mathematics NCERT ,Miscellaneous Examples,,,
90814,"<p>Find which of the following numbers are cubes of rational numbers:</p><p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>125</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mn>128</mn></math></p>",cube and cube roots,8,RD Sharma,,Mathematics,,CBSE
1718,"<p>simplify <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><msup><mo>tan</mo><mrow><mo>−</mo><mn>1</mn></mrow></msup><mfrac><mrow><mroot><mrow><mn>1</mn><mo>+</mo><msup><mi>x</mi><mn>2</mn></msup></mrow><mrow></mrow></mroot><mo>−</mo><mn>1</mn></mrow><mi>x</mi></mfrac><mo>,</mo><mi>x</mi><mo>≠</mo><mn>0</mn></mrow><annotation encoding=""application/x-tex"">\tan ^{-1}\frac{\sqrt[]{1+x^2}-1}{x},x\neq0</annotation></semantics></math></p>
",Inverse trigo ,,NCERT ,,,,
90252,"<ol><li>In a school, the students of class VIII collected ₹2304 for a picnic. Each student contributed as many rupees as the number of students in the class. Find the number of students in the class.</li></ol>",Square and Square Roots,8,ML Aggarwal,,Mathematics,,ICSE
15777,"<p>If the probability of an event is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>p</mi>&nbsp;</math>, then the probability of its complementary event will be</p>",Probability,12,M.L. Aggarwal,,,,
99541,"<p><span style=""color:hsl(0, 75%, 60%);""><strong>कोई धन चक्रवुद्धि ब्याज पर 3 वर्ष में तिगुना हो जाता है। इसी दर पर यह नौ गुना कितने वर्षो में होगा ?</strong></span><br>&nbsp;</p>",1,1,1,SET 002,Mathematics,Creating,CBSE
73521,"<p>Find the values of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>n</mi>&nbsp;</math>in each of the following:<br>(i)&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mn>3</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mn>2</mn>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>4</mn>&nbsp;</mrow></msup><mo>×</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>3</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mn>2</mn>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>5</mn>&nbsp;</mrow></msup><mo>=</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>3</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mn>2</mn>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>2</mn>&nbsp;<mi>n</mi>&nbsp;<mo>+</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup></math><br>(ii)&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mn>2</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mn>3</mn>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>10</mn>&nbsp;</mrow></msup><mo>×</mo>&nbsp;<msup><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">{</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>3</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mn>2</mn>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo data-mjx-texclass=""CLOSE"">}</mo>&nbsp;</mrow><mrow><mn>5</mn>&nbsp;</mrow></msup><mo>=</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>2</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mn>3</mn>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>2</mn>&nbsp;<mi>n</mi>&nbsp;<mo>−</mo>&nbsp;<mn>2</mn>&nbsp;</mrow></msup></math></p>",Exponents,7,RD Sharma,,Mathematics,Understanding,CBSE
80011,"<ol><li>If&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>3</mn>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>log</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mn>5</mn>&nbsp;<mo>−</mo>&nbsp;<mi>log</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mn>3</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>−</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>log</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mn>5</mn>&nbsp;<mo>−</mo>&nbsp;<mn>2</mn>&nbsp;<mi>log</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mn>6</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mn>2</mn>&nbsp;<mo>−</mo>&nbsp;<mi>log</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>x</mi>&nbsp;</math>, find&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;<mo>.</mo>&nbsp;</math>Solution:</li></ol>",Logarithms,9,,,Mathematics,Creating,ICSE
15114,<p>dadada</p>,wrrwr,,rwrw,wrww,,,
32420,"<p>The pH of a&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0.02</mn>&nbsp;<mrow><mi mathvariant=""normal"">M</mi>&nbsp;</mrow><msub><mrow><mi mathvariant=""normal"">N</mi>&nbsp;<mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mn>4</mn>&nbsp;</mrow></msub><mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow></math>solution will be&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">[</mo>&nbsp;<mrow><mi mathvariant=""normal"">G</mi>&nbsp;<mi mathvariant=""normal"">i</mi>&nbsp;<mi mathvariant=""normal"">v</mi>&nbsp;<mi mathvariant=""normal"">e</mi>&nbsp;<mi mathvariant=""normal"">n</mi>&nbsp;</mrow><msub><mrow><mi mathvariant=""normal"">K</mi>&nbsp;</mrow><mrow><mrow><mi mathvariant=""normal"">b</mi>&nbsp;</mrow></mrow></msub><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">(</mo>&nbsp;<msub><mrow><mi mathvariant=""normal"">N</mi>&nbsp;<mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mn>4</mn>&nbsp;</mrow></msub><mrow><mi mathvariant=""normal"">O</mi>&nbsp;<mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mo data-mjx-texclass=""CLOSE"">)</mo>&nbsp;</mrow><mo>=</mo>&nbsp;<msup><mn>10</mn>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>5</mn>&nbsp;</mrow></msup><mo data-mjx-texclass=""CLOSE"" fence=""true"" stretchy=""true"" symmetric=""true"">&nbsp;</mo></mrow></math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"" fence=""true"" stretchy=""true"" symmetric=""true"">&nbsp;</mo><mi>log</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mn>2</mn>&nbsp;<mo>=</mo>&nbsp;<mn>0.301</mn>&nbsp;<mo data-mjx-texclass=""CLOSE"">]</mo>&nbsp;</mrow></math></p>",Equilibrium ,11,jee mains,,Chemistry,Understanding,JEE Main
35113,<ol><li>Represent the number as an integer with an appropriate sign. A deposit of rupees two hundred.</li></ol>,integers,6,ncert,,Mathematics,Remebering,CBSE
18294,<p>A charged object attracts an uncharged object by producing opposite charges in the nearer end of the uncharged object by the process of:</p>,Some Natural Phenomena,8,Lakhmir singh solutions,,,,
57617,"<p>Assertion (A): Holidays were criticized by overworked peasants.<br>Reason (R): They were not expected to work then. These days were meant for prayer, but people usually spent a good part of them having fun and feasting.</p>",The Three Orders,11,NCERT,,History,Applying,CBSE
69947,<p>Which solution is used for the separation of a mixture of phenol and aromatic carboxylic acid?</p>,Purification and Characterization of Organic Compounds  ,11,jee mains,,Chemistry,Understanding,JEE Main
19274,"<p>Write down separately the prime and composite numbers less than&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>20</mn>&nbsp;<mo>.</mo></math></p>",Playing With Numbers,,,,,,
44593,"<p>O) In electrorefining of copper, some gold is deposited at</p>",General Principles and processes of isolation of metals,11,jee mains,,Chemistry,Understanding,JEE Main
21578,<ol><li>Why can dilute solutions of hydrogen peroxide not be concentrated by heating? How can a concentrated solution of hydrogen peroxide be obtained?</li></ol>,Hydrogen,11,NCERT Exemplar,,Chemistry,Analysing / Evaluating,CBSE
23739,<p>The following data on the number of girls (to the nearest ten) per thousand boys in different sections of the society is given below :</p><p>i. Represent the information above by a bar graph.<br>ii. In the classroom discuss what conclusion can be arrived at from the graph.</p>,statistics,9,ncert,,Mathematics,Applying,CBSE
40939,"<p>Compare the pair of fractions using&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&lt;</mo>&nbsp;<mo>,</mo>&nbsp;<mo>&gt;</mo>&nbsp;</math>or&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>=</mo>&nbsp;</math>sign.&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>4</mn>&nbsp;<mn>9</mn>&nbsp;</mfrac><mo>?</mo>&nbsp;<mfrac><mn>3</mn>&nbsp;<mn>4</mn>&nbsp;</mfrac></math></p>",Fractional Numbers,4,NCERT,,Mathematics,Remebering,CBSE
20182,"<p>If&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mover><mi>a</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>,</mo>&nbsp;<mrow><mover><mi>b</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>,</mo>&nbsp;<mrow><mover><mi>c</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow></math>are three vectors such that&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mover><mi>a</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>+</mo>&nbsp;<mrow><mover><mi>b</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>+</mo>&nbsp;<mrow><mover><mi>c</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>=</mo>&nbsp;<mover><mn>0</mn>&nbsp;<mo>→</mo>&nbsp;</mover></math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">|</mo>&nbsp;<mrow><mover><mi>a</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mrow><mo stretchy=""false"">|</mo>&nbsp;</mrow><mo>=</mo>&nbsp;<mn>2</mn>&nbsp;<mo>,</mo>&nbsp;<mrow><mo stretchy=""false"">|</mo>&nbsp;</mrow><mrow><mover><mi>b</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mrow><mo stretchy=""false"">|</mo>&nbsp;</mrow><mo>=</mo>&nbsp;<mn>3</mn>&nbsp;<mo>,</mo>&nbsp;<mrow><mo stretchy=""false"">|</mo>&nbsp;</mrow><mrow><mover><mi>c</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mrow><mo stretchy=""false"">|</mo>&nbsp;</mrow><mo>=</mo>&nbsp;<mn>5</mn>&nbsp;</math>, then value of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mover><mi>a</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>⋅</mo>&nbsp;<mrow><mover><mi>b</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>+</mo>&nbsp;<mrow><mover><mi>b</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>⋅</mo>&nbsp;<mrow><mover><mi>c</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>+</mo>&nbsp;<mrow><mover><mi>c</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>⋅</mo>&nbsp;<mrow><mover><mi>a</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow></math>is</p>",Vector Algebra,12,NCERT Exemplar,,Mathematics,Remebering,CBSE
36571,"<p>The eccentric angle of the point where the line,&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>5</mn>&nbsp;<mi>x</mi>&nbsp;<mo>−</mo>&nbsp;<mn>3</mn>&nbsp;<mi>y</mi>&nbsp;<mo>=</mo>&nbsp;<mn>8</mn>&nbsp;<msqrt><mn>2</mn>&nbsp;</msqrt></math>is a normal to the ellipse&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mn>25</mn>&nbsp;</mfrac><mo>+</mo>&nbsp;<mfrac><msup><mi>y</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mn>9</mn>&nbsp;</mfrac><mo>=</mo>&nbsp;<mn>1</mn>&nbsp;</math>is:</p>",ellipses,12,jee mains,,Mathematics,Understanding,JEE Main
12074,<p>Which of the following statements about photochemical smog is wrong?</p>,Environmental Chemistry,11,NCERT Chemistry Exemplar,,,,
38603,"<ol><li>If a curve passes through the point&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mn>1</mn>&nbsp;<mo>,</mo>&nbsp;<mo>−</mo>&nbsp;<mn>2</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>and has slope of the tangent at any point&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo>,</mo>&nbsp;<mi>y</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>on it as&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>−</mo>&nbsp;<mn>2</mn>&nbsp;<mi>y</mi>&nbsp;</mrow><mi>x</mi>&nbsp;</mfrac></math>, then the curve also passes through the point</li></ol>",Differential Equations,12,jee mains,,Mathematics,Understanding,JEE Main
35533,<ol><li>Which of the following sawhorse projection formulae represents the gauche conformation of butane?</li></ol>,Hydrocarbons,12,jee mains,,Chemistry,Understanding,JEE Main
99125,<p>Viral disease caused due to unhealthy sexual contact</p>,Diseases and First Aid,8,Selina,,Biology,,ICSE
57444,<p>Which one is the most common cause of contamination of water in rural areas?</p>,Air and Water,3,NCERT ,,Science,Remebering,CBSE
66529,"<p>Consider the following statements regarding the export of cotton from India.<br><math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""bold"">A</mi>&nbsp;</mrow></math><br>i. During the American civil war broke out. the Indian export of cotton to Britain increased.<br>ii. The cotton production expanded in Bombay Deccan.<br>iii. By 1862 over 90 percent of cotton imports into Britain from India.<br>iv. The ryots in the deccan villages given limited credit by the sahukars for short time.<br>Which of the above statement(s) is /are correct?</p>",Colonialism and the Countryside,12,ncert,,History,Analysing / Evaluating,CBSE
32362,"<p>The density of a gas at&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mn>27</mn>&nbsp;<mrow><mo>∘</mo>&nbsp;</mrow></msup><mrow><mi mathvariant=""normal"">C</mi>&nbsp;</mrow></math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">a</mi>&nbsp;<mi mathvariant=""normal"">t</mi>&nbsp;<mi mathvariant=""normal"">m</mi>&nbsp;</mrow></math>is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">d</mi>&nbsp;</mrow></math>. If pressure is kept constant, at what temperature will its density become&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1.5</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">d</mi>&nbsp;</mrow></math>?</p>",States of matter- Gases and Liquids,11,jee mains,,Chemistry,Understanding,JEE Main
491,"<p>Find the remainder when <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><msup><mi>x</mi><mn>3</mn></msup><mo>+</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>3</mn><mi>x</mi><mo>+</mo><mn>1</mn></mrow><annotation encoding=""application/x-tex"">x^3+3x^2+3x+1</annotation></semantics></math> is divided by the following Linear polynomials:<br />
<br />
(i) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>x</mi><mo>+</mo><mn>1</mn></mrow><annotation encoding=""application/x-tex"">x+1</annotation></semantics></math><br />
<br />
(ii) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>x</mi><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></mrow><annotation encoding=""application/x-tex"">x-\frac{1}{2}</annotation></semantics></math><br />
<br />
(iii) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>x</mi><annotation encoding=""application/x-tex"">x</annotation></semantics></math><br />
<br />
(iv) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>x</mi><mo>+</mo><mi>π</mi></mrow><annotation encoding=""application/x-tex"">x+\pi</annotation></semantics></math><br />
<br />
(v) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>5</mn><mo>+</mo><mn>2</mn><mi>x</mi></mrow><annotation encoding=""application/x-tex"">5+2x</annotation></semantics></math></p>
",Polynomials and Factorisation,9,T.S. SSC Math,,,,
21885,"<p>For what distance is ray optics a good approximation when the aperture is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>3</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">m</mi>&nbsp;<mi mathvariant=""normal"">m</mi>&nbsp;</mrow></math>wide and the wavelength is 500 nm?</p>",Wave Optics,12,NCERT,,Physics,Applying,CBSE
4306,"<p>Prove that the volume of the largest cone that can be inscribed in a sphere of radius <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mstyle mathvariant=""normal""><mi>R</mi></mstyle><annotation encoding=""application/x-tex"">\mathrm{R}</annotation></semantics></math> is <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mfrac><mn>8</mn><mn>27</mn></mfrac><annotation encoding=""application/x-tex"">\frac{8}{27}</annotation></semantics></math> of the volume of the sphere.</p>
",Application of Derivatives ,12,Mathematics NCERT ,Maxima and Minima,,,
72538,"<p>Read the passage/case study carefully and answer any three questions:<br>Town:<br>The concept of 'town' can best be understood with reference to 'village'. Population size is not the only criterion. Functional contrasts between towns and villages may not always be clear-cut, but specific functions such as manufacturing, retail and wholesale trade, and professional services exist in towns.<br>City:<br>A city may be regarded as a leading town, which has outstripped its local or regional rivals. In the words of Lewis Mumford, ""the city is in fact the physical form of the highest and most complex type of associative life"". Cities are much larger than towns and have a greater number of economic functions. They tend to have transport terminals, major financial institutions, and regional administrative offices. When the population crosses the one million mark it is designated as a million city.<br>Conurbation:<br>The term conurbation was coined by Patrick Geddes in 1915 and applied to a large area of urban development that resulted from the merging of originally separate towns or cities. Million City:<br>The number of million cities in the world has been increasing as never before. London reached the million mark in 1800, followed by Paris in 1850, New York in 1860, and by 1950 there were around 80 such cities. There were 162 million cities in the mid-70s and there was a threefold increase in 2005 and the number reached to 438 . In 2016 , there were 512 cities with at least 1 million inhabitants globally. By 2030, a projected 662 cities will have at least 1 million residents.<br>Megalopolis:<br>This Greek word meaning ""great city"", was popularised by Jean Gottman (1957) and signifies a 'super-metropolitan' region extending, as the union of conurbations. The urban landscape stretching from Boston in the north to south of Washington in the U.S.A. is the best-known example of a megalopolis.</p>",Human Settlements,12,NCERT,,Geography,Remebering,CBSE
47514,"<ol><li>Rahul bought a shirt for Rs.&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>80.15</mn>&nbsp;</math>, a pant for Rs.&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>125.10</mn>&nbsp;</math>, a tie for Rs.&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>20.15</mn>&nbsp;</math>and a coat for Rs.&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>330.10</mn>&nbsp;</math>. How much did he spend on buying clothes?</li></ol>",money,3,ncert,,Mathematics,Applying,CBSE
21217,"<p>Find an anti derivative (or integral) of given function by the method of inspection&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>e</mi>&nbsp;<mrow><mn>2</mn>&nbsp;<mi>x</mi>&nbsp;</mrow></msup></math>.</p>",Integrals,12,NCERT,Integrals,Mathematics,Understanding,CBSE
64149,<p>Classify the projections on the basis of method of construction.</p>,Map Projections,11,NCERT,,Geography,Understanding,CBSE
70295,<p>Which of the following correctly explains a phase/event in the cardiac cycle in a standard electrocardiogram?</p>,Body fluids and circulation,11,"Entrance Exam (JEE main, NEET)",,Biology,Understanding,NEET
9660,"<p>Two substances, A and B were made to react to form a third substance,&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">B</mi>&nbsp;</mrow></math>according to the following reaction&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">A</mi>&nbsp;</mrow><mo>+</mo>&nbsp;<mrow><mi mathvariant=""normal"">B</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<msub><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">B</mi>&nbsp;</mrow></math><br>Which of the following statements concerning this reaction are incorrect?</p>",Is Matter Around Us Pure,9,NCERT Exemplar,,Science,,
15159,<p>The IQ of 50 students was recorded as follows. Draw a histogram and estimate the mode.</p>,Statistics,9,Past Year Paper ,Mode,,,
58699,"<ol><li>Density of a&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2.05</mn>&nbsp;<mrow><mi mathvariant=""normal"">M</mi>&nbsp;</mrow></math>solution of acetic acid in water is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1.02</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">g</mi>&nbsp;</mrow><mrow><mo>/</mo>&nbsp;</mrow><mrow><mi mathvariant=""normal"">m</mi>&nbsp;<mi mathvariant=""normal"">L</mi>&nbsp;</mrow></math>. The molality of the solution is:</li></ol>",some basic concepts of chemistry,12,NEET Exam,,Chemistry,Understanding,NEET
